model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_0,0.22517,0.23789,0.25021,0.25965,0.26988,0.28260,0.28651,0.29797,0.30585,0.31352,0.28614,0.29941,0.31563,0.32080,0.32743,0.33333,0.32828,0.33186,0.33169,0.33038,0.38171
fea_1,0.24287,0.25051,0.25744,0.26141,0.27225,0.27712,0.28556,0.28972,0.29716,0.30134,0.29204,0.29204,0.29499,0.28982,0.29204,0.29204,0.29583,0.29609,0.29695,0.29322,0.34721
fea_2,0.26745,0.25421,0.24951,0.25530,0.26698,0.27183,0.27494,0.28255,0.28697,0.29408,0.32448,0.29794,0.28220,0.28097,0.29027,0.28663,0.28150,0.28208,0.27892,0.27906,0.34187
fea_3,0.24090,0.22748,0.23059,0.23871,0.24708,0.25254,0.25691,0.25979,0.26773,0.27456,0.29204,0.26991,0.27434,0.27581,0.27552,0.27630,0.27265,0.26844,0.27204,0.27168,0.32952
fea_4,0.21927,0.23541,0.24903,0.25957,0.27038,0.27956,0.28461,0.29763,0.30519,0.31267,0.28024,0.29794,0.31465,0.32227,0.32979,0.32989,0.32617,0.33149,0.33104,0.32950,0.38055
fea_5,0.11799,0.15888,0.18466,0.19789,0.21282,0.22074,0.22821,0.23806,0.24662,0.25599,0.13569,0.20059,0.23107,0.24115,0.25605,0.25762,0.25832,0.26254,0.26450,0.26873,0.31956
fea_6,0.11799,0.15888,0.18466,0.19789,0.21282,0.22074,0.22821,0.23806,0.24662,0.25599,0.13569,0.20059,0.23107,0.24115,0.25605,0.25762,0.25832,0.26254,0.26450,0.26873,0.31956
fea_7,0.11799,0.15888,0.18466,0.19789,0.21282,0.22074,0.22821,0.23806,0.24662,0.25599,0.13569,0.20059,0.23107,0.24115,0.25605,0.25762,0.25832,0.26254,0.26450,0.26873,0.31956
fea_8,0.11799,0.15888,0.18466,0.19789,0.21282,0.22074,0.22821,0.23806,0.24662,0.25599,0.13569,0.20059,0.23107,0.24115,0.25605,0.25762,0.25832,0.26254,0.26450,0.26873,0.31956
fea_9,0.11799,0.15888,0.18466,0.19789,0.21282,0.22074,0.22821,0.23806,0.24662,0.25599,0.13569,0.20059,0.23107,0.24115,0.25605,0.25762,0.25832,0.26254,0.26450,0.26873,0.31956
fea_10,0.23795,0.25474,0.26275,0.27169,0.28013,0.28699,0.29305,0.30293,0.31014,0.31882,0.30088,0.32006,0.32547,0.33186,0.33569,0.33235,0.32870,0.33370,0.33169,0.33156,0.38066
fea_11,0.24779,0.25558,0.26320,0.26509,0.26819,0.27381,0.28266,0.28861,0.29540,0.30337,0.29499,0.29646,0.29794,0.29204,0.28378,0.28564,0.29035,0.29204,0.29269,0.29322,0.34769
fea_12,0.25565,0.24611,0.24165,0.25267,0.26060,0.26628,0.27006,0.27779,0.28512,0.29174,0.31268,0.28761,0.27040,0.27729,0.28083,0.27925,0.27686,0.27729,0.27794,0.27788,0.34160
fea_13,0.23992,0.23202,0.23286,0.24014,0.24735,0.25150,0.25630,0.26105,0.26858,0.27683,0.28909,0.27286,0.27139,0.27434,0.27493,0.27483,0.27139,0.27028,0.27204,0.27257,0.33135
fea_14,0.23599,0.25468,0.26296,0.27417,0.28103,0.28583,0.29333,0.30433,0.31234,0.31961,0.29499,0.32153,0.32645,0.33555,0.33392,0.32694,0.32659,0.33333,0.33169,0.33068,0.38010
fea_15,0.22517,0.22825,0.23388,0.24464,0.25385,0.26375,0.27207,0.28070,0.28987,0.29786,0.26844,0.28319,0.29105,0.30310,0.30855,0.31219,0.31479,0.31674,0.31891,0.31829,0.37270
fea_16,0.23107,0.23898,0.25358,0.25682,0.26350,0.27002,0.27327,0.28159,0.28833,0.29320,0.28614,0.28909,0.30088,0.29499,0.29558,0.29548,0.29330,0.29499,0.29597,0.29174,0.34696
fea_17,0.20551,0.21508,0.22238,0.22978,0.23805,0.24190,0.25061,0.25652,0.26051,0.26596,0.26254,0.26844,0.26549,0.26401,0.27139,0.27040,0.27644,0.27729,0.27565,0.27522,0.32819
fea_18,0.14454,0.16569,0.17714,0.17943,0.18387,0.19112,0.19780,0.20374,0.21073,0.21612,0.18584,0.21534,0.22616,0.22050,0.22419,0.22911,0.23262,0.23525,0.23763,0.23953,0.30367
fea_19,0.22222,0.22530,0.23370,0.24399,0.25352,0.26292,0.27108,0.27958,0.28879,0.29741,0.26549,0.28024,0.29204,0.30310,0.30914,0.31170,0.31395,0.31600,0.31826,0.31829,0.37235
fea_20,0.30777,0.31548,0.32336,0.32137,0.32648,0.33650,0.34458,0.35367,0.36203,0.36641,0.35103,0.36136,0.36578,0.35029,0.34749,0.34956,0.35103,0.35029,0.34939,0.34425,0.40536
fea_21,0.29302,0.29347,0.29822,0.30705,0.31667,0.32450,0.33512,0.34113,0.34669,0.35240,0.35988,0.35103,0.34317,0.34366,0.34454,0.34169,0.34092,0.33518,0.33137,0.32832,0.40830
fea_22,0.33137,0.34696,0.35218,0.35934,0.36567,0.37289,0.37712,0.38517,0.39234,0.39802,0.39823,0.41298,0.40511,0.40044,0.39764,0.39233,0.38517,0.38385,0.38184,0.37670,0.44274
fea_23,0.22616,0.25085,0.25839,0.27491,0.28036,0.29539,0.30391,0.31147,0.32506,0.33330,0.28319,0.30531,0.30678,0.31490,0.30855,0.31613,0.31563,0.31416,0.31924,0.31888,0.39481
fea_24,0.25074,0.25288,0.25901,0.26226,0.26787,0.26858,0.27225,0.27841,0.28579,0.29570,0.29204,0.29056,0.29007,0.28540,0.28850,0.28417,0.28150,0.28208,0.28646,0.28850,0.34033
fea_25,0.28515,0.27467,0.27405,0.28132,0.28066,0.28476,0.28734,0.29368,0.30027,0.30669,0.34218,0.31121,0.29990,0.30015,0.29263,0.29253,0.28824,0.28982,0.28974,0.28938,0.35354
fea_26,0.25270,0.25549,0.26067,0.27103,0.27117,0.28020,0.28253,0.28775,0.29472,0.29987,0.30383,0.29499,0.28909,0.29499,0.28850,0.29499,0.29077,0.29093,0.29171,0.29027,0.34837
fea_27,0.27729,0.26743,0.27004,0.27367,0.27450,0.28193,0.28603,0.29095,0.29847,0.30276,0.32448,0.30383,0.29892,0.29572,0.29204,0.29548,0.29330,0.29314,0.29433,0.29145,0.35109
fea_28,0.26549,0.26569,0.26264,0.26360,0.26953,0.27805,0.28056,0.28330,0.28686,0.28967,0.30678,0.30088,0.28220,0.27802,0.27611,0.28122,0.27686,0.27323,0.27139,0.26755,0.33922
fea_29,0.30088,0.29513,0.28370,0.28237,0.28325,0.28605,0.28936,0.29117,0.29756,0.30138,0.35398,0.33038,0.30088,0.28835,0.28260,0.27876,0.27434,0.27028,0.27237,0.26962,0.34845
fea_30,0.26942,0.26649,0.26278,0.26631,0.26949,0.27477,0.28111,0.28546,0.28935,0.29482,0.32448,0.30826,0.28712,0.27950,0.27729,0.27630,0.27518,0.27323,0.27237,0.27109,0.34524
fea_31,0.30088,0.29325,0.28359,0.28285,0.28359,0.28812,0.28991,0.29337,0.29856,0.30338,0.35398,0.32596,0.29892,0.29056,0.28260,0.28073,0.27518,0.27249,0.27171,0.27109,0.35147
fea_32,0.23894,0.23201,0.23706,0.24542,0.24607,0.25140,0.25781,0.26659,0.27323,0.27957,0.28614,0.28024,0.28417,0.28466,0.27493,0.27532,0.27434,0.27655,0.27630,0.27611,0.33340
fea_33,0.22616,0.22202,0.23275,0.23731,0.23998,0.24710,0.25431,0.26533,0.26830,0.27601,0.27139,0.26844,0.27729,0.27434,0.26844,0.26893,0.27223,0.27655,0.27171,0.27286,0.33132
fea_34,0.21829,0.21727,0.22708,0.23439,0.23776,0.24430,0.25136,0.26303,0.26640,0.27419,0.26549,0.26254,0.27237,0.27139,0.26667,0.26647,0.27012,0.27507,0.27106,0.27286,0.33030
fea_35,0.22911,0.22269,0.23119,0.23817,0.24114,0.24747,0.25526,0.26648,0.26963,0.27684,0.27434,0.26844,0.27630,0.27434,0.26962,0.26893,0.27349,0.27802,0.27335,0.27404,0.33173
fea_36,0.30482,0.30652,0.31714,0.32085,0.32757,0.33742,0.34454,0.35067,0.35596,0.36204,0.35988,0.35546,0.35890,0.35767,0.35339,0.35497,0.35272,0.34845,0.34448,0.34159,0.40268
fea_37,0.29007,0.29816,0.29876,0.31212,0.32091,0.33047,0.34027,0.34590,0.35270,0.36110,0.36283,0.36136,0.34808,0.34808,0.34926,0.34710,0.34598,0.33960,0.33694,0.33628,0.41124
fea_38,0.34120,0.35014,0.35721,0.36290,0.37079,0.38095,0.38727,0.39536,0.40212,0.40743,0.40413,0.41298,0.41003,0.40265,0.40000,0.39921,0.39528,0.39122,0.38741,0.38319,0.44552
fea_39,0.24385,0.27030,0.27538,0.28821,0.29419,0.30914,0.31992,0.32980,0.33801,0.34771,0.31268,0.33923,0.32842,0.32965,0.32271,0.32891,0.32954,0.32780,0.32547,0.32684,0.40249
fea_40,0.18584,0.20135,0.21539,0.22254,0.22982,0.23582,0.24171,0.24807,0.25623,0.26471,0.22714,0.24779,0.26057,0.25885,0.25900,0.26401,0.26422,0.26696,0.26975,0.27286,0.32776
fea_41,0.16126,0.18884,0.19689,0.21259,0.22148,0.23088,0.24010,0.24909,0.25632,0.26120,0.21239,0.23746,0.24385,0.25664,0.26254,0.26794,0.27476,0.27950,0.28024,0.27670,0.32513
fea_42,0.15536,0.17955,0.19714,0.21045,0.21640,0.22397,0.23126,0.23900,0.24550,0.25294,0.20059,0.22861,0.24582,0.25737,0.25841,0.25959,0.26254,0.26401,0.26483,0.26696,0.32089
fea_43,0.16028,0.19376,0.19818,0.19712,0.20795,0.21652,0.22459,0.23160,0.23729,0.24431,0.19764,0.24041,0.23894,0.23083,0.24189,0.24926,0.25242,0.25479,0.25434,0.25605,0.31432
fea_44,0.16028,0.16794,0.17530,0.18367,0.19120,0.19729,0.20427,0.20763,0.21689,0.22277,0.19174,0.20206,0.21141,0.22198,0.22773,0.22861,0.23388,0.23304,0.23927,0.23953,0.30411
fea_45,0.11799,0.15888,0.18466,0.19789,0.21282,0.22074,0.22821,0.23806,0.24662,0.25599,0.13569,0.20059,0.23107,0.24115,0.25605,0.25762,0.25832,0.26254,0.26450,0.26873,0.31956
lambdarank,0.39036,0.37997,0.38341,0.39553,0.39407,0.40305,0.40797,0.41158,0.42018,0.42454,0.45723,0.43215,0.42478,0.42625,0.41180,0.40905,0.40244,0.39307,0.39069,0.38319,0.45189
ranknet,0.38545,0.38000,0.38924,0.39685,0.40646,0.41089,0.41522,0.42174,0.42868,0.43465,0.46018,0.43805,0.43854,0.43215,0.43304,0.42576,0.41930,0.41224,0.40544,0.39971,0.45776
ranknet_speedup,0.39331,0.37343,0.38171,0.39011,0.39436,0.39954,0.40524,0.40969,0.41819,0.42806,0.46608,0.42330,0.42773,0.42773,0.42006,0.41101,0.40539,0.39860,0.39331,0.39233,0.45497
ranking_svm,0.36873,0.37480,0.37953,0.38420,0.38716,0.39375,0.39819,0.40302,0.41081,0.42137,0.42183,0.42183,0.42183,0.41888,0.41003,0.40462,0.39949,0.39233,0.38774,0.38909,0.45288
log_loss_binary_classify,0.36971,0.37493,0.38043,0.39222,0.39719,0.39905,0.40474,0.40627,0.41491,0.42098,0.44248,0.43215,0.43166,0.43437,0.42950,0.41593,0.40919,0.39676,0.39397,0.38879,0.45363
mse_regression,0.38840,0.37479,0.38798,0.39101,0.40001,0.40344,0.40688,0.40849,0.41801,0.42577,0.45133,0.42625,0.43756,0.42773,0.42714,0.41642,0.40708,0.39749,0.39299,0.39056,0.45046
lambdarank_slow,0.39626,0.38861,0.39018,0.39752,0.40124,0.40851,0.41162,0.41755,0.42649,0.43354,0.45723,0.43953,0.42970,0.42847,0.41888,0.41544,0.40497,0.39712,0.39397,0.38820,0.45817
