model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_0,0.22386,0.23422,0.24079,0.25065,0.25982,0.26946,0.27971,0.28949,0.29819,0.30720,0.28259,0.28992,0.29157,0.29506,0.29764,0.30014,0.30472,0.30734,0.30885,0.31000,0.36986
fea_1,0.24709,0.24852,0.25268,0.25830,0.26548,0.27202,0.27849,0.28354,0.28948,0.29445,0.29200,0.28873,0.28666,0.28473,0.28454,0.28470,0.28379,0.28194,0.28089,0.27875,0.33687
fea_2,0.24192,0.24349,0.24821,0.25562,0.26270,0.26800,0.27443,0.28034,0.28633,0.29327,0.28958,0.28132,0.27720,0.27720,0.27790,0.27611,0.27593,0.27439,0.27273,0.27242,0.33792
fea_3,0.22087,0.21867,0.22675,0.23168,0.23669,0.24526,0.25215,0.25937,0.26671,0.27444,0.26656,0.25711,0.26244,0.25904,0.25711,0.26035,0.26057,0.26109,0.26288,0.26379,0.32856
fea_4,0.22288,0.23303,0.24012,0.25101,0.26089,0.26948,0.27893,0.29013,0.29874,0.30741,0.28082,0.28786,0.29079,0.29565,0.29894,0.29975,0.30346,0.30763,0.30898,0.31017,0.36872
fea_5,0.10875,0.14574,0.16777,0.18196,0.19740,0.21054,0.22084,0.23069,0.24003,0.24892,0.13358,0.18942,0.21590,0.22857,0.24125,0.24892,0.25329,0.25636,0.25927,0.26178,0.30875
fea_6,0.10875,0.14574,0.16777,0.18196,0.19740,0.21054,0.22084,0.23069,0.24003,0.24892,0.13358,0.18942,0.21590,0.22857,0.24125,0.24892,0.25329,0.25636,0.25927,0.26178,0.30875
fea_7,0.10875,0.14574,0.16777,0.18196,0.19740,0.21054,0.22084,0.23069,0.24003,0.24892,0.13358,0.18942,0.21590,0.22857,0.24125,0.24892,0.25329,0.25636,0.25927,0.26178,0.30875
fea_8,0.10875,0.14574,0.16777,0.18196,0.19740,0.21054,0.22084,0.23069,0.24003,0.24892,0.13358,0.18942,0.21590,0.22857,0.24125,0.24892,0.25329,0.25636,0.25927,0.26178,0.30875
fea_9,0.10875,0.14574,0.16777,0.18196,0.19740,0.21054,0.22084,0.23069,0.24003,0.24892,0.13358,0.18942,0.21590,0.22857,0.24125,0.24892,0.25329,0.25636,0.25927,0.26178,0.30875
fea_10,0.23547,0.24565,0.25372,0.26409,0.27350,0.28259,0.29111,0.30100,0.30987,0.31895,0.29379,0.29968,0.30302,0.30648,0.30937,0.30943,0.31116,0.31386,0.31537,0.31646,0.37354
fea_11,0.25104,0.25219,0.25627,0.26233,0.26789,0.27380,0.27928,0.28489,0.29110,0.29685,0.29554,0.29258,0.28862,0.28859,0.28584,0.28490,0.28220,0.28165,0.28024,0.27928,0.33788
fea_12,0.23841,0.24033,0.24510,0.25341,0.26062,0.26658,0.27240,0.27943,0.28639,0.29260,0.28133,0.27542,0.27288,0.27543,0.27625,0.27631,0.27501,0.27455,0.27419,0.27283,0.33878
fea_13,0.22205,0.21999,0.22743,0.23227,0.23740,0.24460,0.25286,0.25947,0.26730,0.27513,0.26657,0.25682,0.26184,0.25904,0.25758,0.25907,0.26116,0.26117,0.26341,0.26444,0.32862
fea_14,0.23508,0.24512,0.25370,0.26465,0.27351,0.28298,0.29183,0.30209,0.31107,0.31944,0.29262,0.29939,0.30283,0.30677,0.30878,0.30923,0.31082,0.31460,0.31609,0.31622,0.37251
fea_15,0.19723,0.20960,0.21968,0.23107,0.23905,0.24876,0.25934,0.26796,0.27629,0.28564,0.24649,0.26481,0.27446,0.28105,0.28275,0.28586,0.29003,0.29190,0.29321,0.29475,0.35827
fea_16,0.21196,0.22121,0.22926,0.23476,0.24239,0.24903,0.25533,0.26310,0.26874,0.27504,0.26121,0.26833,0.27207,0.27484,0.27626,0.27760,0.27713,0.27839,0.27695,0.27627,0.32990
fea_17,0.18954,0.20044,0.21061,0.21886,0.22572,0.23202,0.23857,0.24472,0.25079,0.25777,0.23762,0.24649,0.25258,0.25563,0.25676,0.25662,0.25779,0.25859,0.25915,0.26072,0.32001
fea_18,0.15114,0.16273,0.17302,0.18123,0.18823,0.19515,0.20195,0.20872,0.21510,0.22270,0.19332,0.20540,0.21458,0.22063,0.22413,0.22716,0.22958,0.23280,0.23511,0.23832,0.30311
